ID,DemAffl,DemAge,DemClusterGroup,DemGender,DemReg,DemTVReg,LoyalClass,LoyalSpend,LoyalTime,TargetBuy
9835857,8.0,,,F,Midlands,Midlands,Tin,0.009999999999999998,9.0,0
9879404,8.0,57.0,B,,,,Silver,2000.0,2.0,0
9943277,,50.0,,M,Midlands,Ulster,Silver,1000.0,8.0,0
10053654,,30.0,,F,Midlands,Ulster,Tin,0.009999999999999998,8.0,1
10135707,7.0,,,F,North,N West,Tin,0.009999999999999998,5.0,0
10298053,11.0,,A,F,,,Gold,6000.0,1.0,0
10598618,15.0,58.0,E,M,,,Silver,4000.0,,0
10704280,5.0,56.0,,F,Midlands,Ulster,Gold,11000.0,,0
11032480,4.0,67.0,C,,,,Silver,2500.0,1.0,0
11295317,,50.0,,F,Midlands,East,Silver,3000.0,8.0,0
11595132,7.0,51.0,,M,Midlands,Ulster,Silver,4000.0,,0
11619236,9.0,73.0,D,,,,Silver,4000.0,1.0,0
11980591,9.0,,B,F,,,Silver,3000.0,2.0,0
12169129,7.0,73.0,,,Midlands,Ulster,Gold,10553.34,6.0,0
12213209,,63.0,B,F,,,Silver,2500.0,2.0,0
12534188,9.0,,D,F,,,Silver,1500.0,4.0,0
12911518,13.0,,,F,Midlands,East,Tin,0.009999999999999998,8.0,1
13001000,13.0,56.0,D,,,,Tin,0.009999999999999998,4.0,0
13080415,,31.0,,F,Midlands,Wales & West,Tin,0.009999999999999998,9.0,1
13214330,4.0,59.0,,,Midlands,East,Tin,0.009999999999999998,10.0,0
13319507,,64.0,D,F,,,Gold,12000.0,1.0,0
13810448,,58.0,,F,Midlands,Ulster,Gold,10000.0,4.0,0
13894749,10.0,,C,F,,,Tin,0.009999999999999998,5.0,0
14141612,,63.0,,F,Midlands,Wales & West,Silver,3000.0,8.0,1
14419289,8.0,,,F,Midlands,Ulster,Silver,1500.0,6.0,1
14881357,7.0,43.0,,,Midlands,Ulster,Gold,6000.0,3.0,0
15079333,,44.0,F,M,,,Tin,0.009999999999999998,8.0,0
15126021,,50.0,,F,Midlands,Ulster,Silver,600.0,5.0,0
15172929,8.0,47.0,,,North,N West,Tin,0.009999999999999998,5.0,0
15342328,16.0,71.0,F,,,,Gold,9000.0,7.0,0
15450643,7.0,,F,F,,,Silver,500.0,2.0,0
16110048,,,D,U,South East,London,Gold,6053.349999999999,,0
16506863,7.0,65.0,,,Midlands,Ulster,Silver,500.0,9.0,0
17122783,,,B,M,South East,London,Tin,0.009999999999999998,,0
17334098,7.0,,,F,South East,London,Tin,0.009999999999999998,7.0,1
17479150,10.0,46.0,,,South East,London,Silver,100.0,1.0,0
17546214,8.0,68.0,B,,,,Gold,8500.0,7.0,0
17674107,23.0,34.0,F,M,,,Gold,6053.349999999999,,1
17825881,10.0,,F,M,,,Gold,17782.83,9.0,0
17844215,14.0,,A,F,,,Gold,6000.0,2.0,0
18016073,10.0,,E,M,,,Silver,5000.0,12.0,0
18244777,8.0,51.0,C,,,,Tin,0.009999999999999998,5.0,0
18286097,3.0,60.0,C,,,,Gold,6000.0,1.0,0
18295266,8.0,,C,F,,,Tin,0.009999999999999998,8.0,0
18867391,2.0,58.0,,,South West,S West,Silver,3500.0,9.0,0
18932371,13.0,,,F,Midlands,Ulster,Silver,3000.0,6.0,1
20009704,6.0,,,F,North,N East,Tin,0.009999999999999998,5.0,0
20122276,,45.0,C,M,,,Silver,0.019999999999999997,8.0,0
20223773,,48.0,E,F,,,Tin,0.009999999999999998,4.0,0
20903375,11.0,,,M,Midlands,Midlands,Silver,3000.0,6.0,0
21373647,,37.0,F,F,,,Tin,0.009999999999999998,8.0,1
21513104,13.0,56.0,D,,,,Silver,1300.0,6.0,1
22031650,10.0,19.0,F,,,,Silver,1500.0,1.0,0
22277978,11.0,,C,F,,,Gold,12000.0,1.0,0
22725938,8.0,50.0,D,,,,Silver,1000.0,9.0,0
24312533,,38.0,,F,South East,London,Tin,0.009999999999999998,5.0,1
24527866,7.0,47.0,,,Midlands,Ulster,Tin,0.009999999999999998,5.0,0
24580058,6.0,65.0,,,Midlands,Ulster,Gold,6105.32,7.0,0
24886548,7.0,70.0,F,,,,Gold,17345.64,3.0,0
25467026,9.0,,,F,Midlands,Midlands,Tin,0.009999999999999998,5.0,0
25500392,9.0,60.0,,,Midlands,Ulster,Gold,18000.0,2.0,0
25871420,7.0,52.0,C,,,,Gold,6000.0,2.0,0
25940767,6.0,69.0,,,Scottish,N Scot,Platinum,20885.91,3.0,0
26042088,10.0,45.0,,U,Midlands,Ulster,Gold,12000.0,,0
26144387,,37.0,C,F,,,Gold,6000.0,1.0,1
26154684,5.0,73.0,D,,,,Gold,6000.0,1.0,0
26541149,25.0,,B,F,,,Tin,0.009999999999999998,5.0,1
27167895,,73.0,C,M,,,Gold,18000.0,10.0,0
27406504,6.0,42.0,,,Midlands,Ulster,Tin,0.009999999999999998,4.0,0
27518574,9.0,,,F,South East,S & S East,Silver,1800.0,8.0,0
27624609,2.0,32.0,,,South East,S & S East,Tin,0.009999999999999998,4.0,0
27943615,12.0,34.0,C,,,,Tin,0.009999999999999998,4.0,0
28127161,12.0,32.0,D,,,,Tin,0.009999999999999998,5.0,0
28403932,8.0,73.0,,F,South East,S & S East,Gold,6000.0,,0
28837371,10.0,33.0,,,Midlands,Midlands,Tin,0.009999999999999998,8.0,0
29070376,8.0,37.0,,,South East,London,Gold,6000.0,1.0,0
29076846,8.0,48.0,E,,,,Gold,6000.0,1.0,0
29088291,7.0,,E,F,,,Gold,12000.0,1.0,1
29219396,6.0,,,M,Midlands,Ulster,Silver,4800.0,29.0,0
29504805,5.0,64.0,,,South East,London,Platinum,50000.0,1.0,0
29849918,4.0,63.0,E,,,,Gold,8000.0,4.0,0
29963206,12.0,,,M,Midlands,Ulster,Gold,8044.459999999999,7.0,0
29975336,10.0,,C,M,,,Silver,3052.66,7.0,0
30004985,9.0,47.0,,,Midlands,Ulster,Silver,600.0,5.0,0
30104580,13.0,47.0,F,,,,Silver,50.0,1.0,0
30139430,,61.0,,M,South East,London,Gold,12000.0,15.0,0
30173280,,65.0,,M,South East,London,Silver,4000.0,4.0,0
30217288,6.0,52.0,D,,,,Tin,0.009999999999999998,9.0,0
30237491,12.0,29.0,,M,South East,London,Silver,3000.0,,1
30380928,4.0,50.0,,,Midlands,Wales & West,Silver,420.0,9.0,0
30423252,,34.0,,F,Midlands,East,Tin,0.009999999999999998,7.0,0
30497930,10.0,52.0,,,Midlands,Ulster,Tin,0.009999999999999998,7.0,0
30502616,7.0,,,F,South East,S & S East,Silver,3620.0,10.0,1
30738598,6.0,,,F,North,N West,Tin,0.009999999999999998,7.0,1
30782945,14.0,,,F,South East,London,Tin,0.009999999999999998,7.0,0
31470676,,60.0,E,F,,,Tin,0.009999999999999998,5.0,0
31495571,8.0,,,F,Midlands,Ulster,Silver,840.0,5.0,1
31654068,9.0,,B,,Scottish,C Scotland,Gold,6053.349999999999,,0
32537030,8.0,39.0,D,,,,Tin,0.009999999999999998,5.0,0
32610277,6.0,77.0,B,U,,,Gold,6000.0,,0
32612717,,,F,,South East,S & S East,Gold,13000.0,22.0,0
32636136,14.0,,F,F,,,Tin,0.009999999999999998,5.0,1
32687199,5.0,,,M,South East,S & S East,Silver,200.0,10.0,0
32768296,,42.0,F,M,,,Silver,50.01,8.0,0
32888348,9.0,,,F,South East,London,Gold,15000.0,3.0,0
32908853,11.0,,,F,Midlands,East,Tin,0.009999999999999998,7.0,0
32945040,10.0,48.0,,,South East,London,Gold,6000.0,1.0,0
33035250,,41.0,,M,South East,S & S East,Silver,50.0,10.0,0
33117027,11.0,43.0,F,,,,Silver,1000.0,9.0,1
33243839,7.0,,,M,South East,London,Silver,3000.0,8.0,0
33319835,,43.0,,F,North,N West,Tin,0.009999999999999998,5.0,1
33469420,7.0,,,F,Midlands,Ulster,Gold,12000.0,8.0,0
33471815,4.0,72.0,,,Midlands,Ulster,Silver,5000.0,6.0,0
33480784,,,F,,Midlands,Midlands,Tin,0.009999999999999998,9.0,1
33503156,11.0,35.0,,F,Midlands,East,Gold,6200.0,,1
33577273,7.0,73.0,,,Midlands,Wales & West,Gold,12000.0,8.0,0
33599927,3.0,,D,F,,,Silver,2000.0,1.0,1
33767870,17.0,39.0,D,,,,Silver,2000.0,4.0,1
33941773,6.0,45.0,,F,Midlands,Wales & West,Silver,3052.66,,0
33961588,8.0,37.0,,F,Midlands,Ulster,Tin,0.009999999999999998,,1
34008795,,76.0,,M,South East,London,Silver,3000.0,2.0,0
34438030,12.0,38.0,,,Midlands,Ulster,Silver,2000.0,2.0,1
34468281,,60.0,,F,Midlands,East,Platinum,24194.12,7.0,0
34636150,6.0,75.0,,,Midlands,Ulster,Silver,3000.0,8.0,0
34813795,9.0,62.0,,F,Midlands,Midlands,Silver,3000.0,,0
34814082,8.0,48.0,C,,,,Gold,6000.0,1.0,0
34832854,12.0,67.0,,,Midlands,Ulster,Gold,10001.74,4.0,0
34847665,4.0,72.0,,M,Midlands,Midlands,Silver,1500.0,,0
34901570,5.0,62.0,,,Midlands,Wales & West,Silver,1167.1499999999999,4.0,0
34930457,9.0,76.0,C,,,,Silver,1000.0,2.0,0
34931100,9.0,47.0,,,Scottish,N Scot,Silver,1500.0,18.0,0
34966397,5.0,,,F,Midlands,Ulster,Silver,1000.0,1.0,1
35021183,8.0,50.0,,,Midlands,Ulster,Silver,3000.0,4.0,0
35034218,8.0,54.0,,,Midlands,Wales & West,Tin,0.009999999999999998,5.0,0
35127860,,,A,,South East,London,Gold,12000.0,5.0,0
35255311,9.0,25.0,,F,Midlands,Ulster,Silver,1000.0,,1
35299653,8.0,70.0,B,,,,Gold,6000.0,15.0,0
35363106,4.0,71.0,B,,,,Silver,500.0,17.0,0
35509089,,76.0,,F,North,N East,Gold,15000.0,10.0,0
35564195,,44.0,F,,South East,London,Tin,0.009999999999999998,,0
35646086,14.0,71.0,,,Midlands,Ulster,Platinum,86673.37999999999,1.0,0
35697195,5.0,57.0,,,Midlands,Wales & West,Silver,3000.0,8.0,0
35762957,,72.0,,M,North,N West,Silver,3000.0,8.0,0
36401621,8.0,,C,F,,,Tin,0.009999999999999998,5.0,0
36456027,7.0,78.0,,,South East,London,Gold,10000.0,1.0,0
36514558,,46.0,,U,Midlands,Ulster,Gold,6053.349999999999,12.0,0
36555530,9.0,51.0,,,North,Yorkshire,Gold,12000.0,4.0,0
36659378,,,C,,Midlands,Midlands,Silver,0.019999999999999997,5.0,0
36749709,4.0,74.0,E,U,,,Gold,6105.32,,0
37104108,9.0,51.0,,,Midlands,Ulster,Silver,5000.0,5.0,0
37271802,,53.0,,M,Scottish,C Scotland,Gold,12000.0,2.0,0
37454770,9.0,42.0,,,Midlands,Ulster,Silver,1000.0,5.0,1
37744387,,52.0,E,F,,,Tin,0.009999999999999998,8.0,0
38041479,6.0,63.0,,,Midlands,Ulster,Gold,10053.349999999999,12.0,0
38355040,7.0,,,F,Midlands,Ulster,Platinum,20513.949999999997,3.0,0
38363433,,67.0,,M,Scottish,N Scot,Platinum,24000.0,4.0,0
38549421,8.0,,E,F,,,Silver,4000.0,1.0,0
38802593,11.0,,C,F,,,Silver,1500.0,1.0,1
38853180,,54.0,,F,Midlands,Ulster,Gold,10000.0,12.0,0
39000121,8.0,49.0,,,Midlands,Ulster,Tin,0.009999999999999998,5.0,1
39656523,13.0,,,F,South East,London,Tin,0.009999999999999998,6.0,1
39696428,,53.0,,M,Midlands,Ulster,Gold,6000.0,1.0,0
39731509,7.0,,B,F,,,Gold,6000.0,2.0,0
39820749,10.0,34.0,D,M,,,Tin,0.009999999999999998,,1
39823284,30.0,36.0,,F,North,N West,Silver,360.0,,1
39834545,14.0,54.0,,M,Midlands,Ulster,Silver,600.0,,0
39942682,10.0,64.0,,,Midlands,Ulster,Tin,0.009999999999999998,8.0,0
40954880,6.0,62.0,D,,,,Gold,6000.0,4.0,0
41077956,9.0,65.0,E,,,,Gold,8000.0,2.0,0
41182881,11.0,,D,M,,,Gold,9000.0,3.0,0
41225807,,39.0,B,,North,Yorkshire,Silver,2035.8799999999999,,0
41577460,8.0,49.0,E,,,,Tin,0.009999999999999998,5.0,0
42382361,8.0,,B,U,,,Gold,6105.32,7.0,0
42484300,7.0,,C,F,,,Silver,100.01,8.0,0
42785547,8.0,55.0,,,Midlands,Wales & West,Gold,12158.669999999998,8.0,0
42940470,7.0,,,U,Midlands,Wales & West,Silver,2000.0,1.0,0
43794876,8.0,78.0,,,Midlands,Ulster,Silver,5000.0,4.0,0
43830465,5.0,59.0,,,Midlands,Ulster,Tin,0.009999999999999998,5.0,0
43887262,15.0,45.0,C,,,,Gold,6053.82,6.0,0
44077019,,47.0,,F,North,N East,Gold,16884.25,8.0,0
44105373,5.0,44.0,E,,,,Tin,0.009999999999999998,5.0,0
44109506,13.0,49.0,F,,,,Silver,2040.0,5.0,0
44532549,6.0,,,M,Midlands,Ulster,Gold,6053.349999999999,7.0,0
44698390,17.0,,,F,South East,London,Silver,500.0,9.0,0
45501728,,43.0,,F,Midlands,Ulster,Platinum,33176.259999999995,4.0,0
45537072,6.0,66.0,,,Midlands,Ulster,Silver,50.0,10.0,0
45618560,,65.0,,F,North,Yorkshire,Tin,0.009999999999999998,5.0,0
45769038,7.0,29.0,,,Midlands,Ulster,Silver,1600.0,9.0,0
45833828,5.0,33.0,,,Midlands,Ulster,Tin,0.009999999999999998,8.0,0
46009959,,67.0,,M,Midlands,Wales & West,Gold,12000.0,7.0,0
46102240,8.0,,,F,Midlands,Ulster,Silver,300.0,12.0,1
46268458,,53.0,,U,Midlands,Ulster,Gold,6035.349999999999,7.0,0
46832736,11.0,,,U,North,Yorkshire,Gold,5000.01,4.0,0
47391687,9.0,52.0,,M,Midlands,Ulster,Silver,600.0,,0
47430240,9.0,53.0,,,Midlands,Ulster,Silver,70.01,8.0,0
47657938,12.0,42.0,,,Midlands,Midlands,Gold,13000.02,13.0,0
47928737,,61.0,,M,Midlands,Wales & West,Gold,7900.0,2.0,1
47979501,,77.0,F,F,,,Silver,500.0,8.0,1
48096832,,,B,F,Midlands,East,Silver,5000.0,,1
48457304,10.0,45.0,,,North,N West,Silver,600.0,4.0,0
48527043,,43.0,D,M,,,Tin,0.009999999999999998,8.0,0
48617662,6.0,,,F,North,N West,Silver,2000.0,1.0,1
48746918,13.0,,,F,Midlands,East,Silver,3000.0,9.0,0
48808581,7.0,,,F,South East,S & S East,Tin,0.009999999999999998,8.0,0
50342158,11.0,,,M,Scottish,N Scot,Silver,1000.0,11.0,0
50449750,10.0,,B,F,,,Silver,1000.0,1.0,0
50553892,19.0,,B,U,,,Gold,6000.0,2.0,0
51045505,6.0,37.0,,,Midlands,Ulster,Silver,1000.0,5.0,0
51219988,7.0,,C,F,,,Gold,6000.0,11.0,0
52357748,11.0,68.0,,,Midlands,Ulster,Gold,12000.0,2.0,0
52359503,8.0,,,F,Scottish,N Scot,Gold,18106.699999999997,7.0,0
52383897,8.0,74.0,,F,Scottish,N Scot,Silver,1000.0,,1
52446090,,41.0,F,M,,,Tin,0.009999999999999998,8.0,0
5886,14.0,43.0,F,F,,,Gold,6000.0,1.0,1
24554,10.0,39.0,,M,Midlands,Ulster,Tin,0.009999999999999998,5.0,0
39330,,,F,M,Midlands,East,Tin,0.009999999999999998,4.0,0
57622,12.0,41.0,,M,Midlands,East,Tin,0.009999999999999998,9.0,0
95036,12.0,61.0,B,F,,,Silver,1020.0,9.0,0
97802,7.0,55.0,,M,Midlands,Ulster,Silver,2000.0,1.0,0
158216,14.0,65.0,,M,South East,S & S East,Gold,6053.349999999999,6.0,0
213241,5.0,57.0,F,F,,,Gold,12000.0,1.0,0
271101,7.0,54.0,B,,Midlands,Midlands,Tin,0.009999999999999998,,0
275700,10.0,36.0,F,F,,,Silver,1000.0,9.0,1
295620,9.0,47.0,,M,Midlands,Ulster,Tin,0.009999999999999998,5.0,0
346403,10.0,,D,,Midlands,Midlands,Tin,0.009999999999999998,5.0,0
418943,10.0,39.0,C,M,,,Tin,0.009999999999999998,4.0,1
607118,8.0,47.0,,F,Midlands,Midlands,Tin,0.009999999999999998,5.0,0
618284,15.0,,E,F,Midlands,East,Silver,0.019999999999999997,,1
691178,9.0,37.0,,M,Midlands,Ulster,Gold,10000.0,11.0,1
750840,5.0,52.0,,F,South East,S & S East,Tin,0.009999999999999998,5.0,0
807877,,,B,F,South East,London,Gold,8053.349999999999,1.0,0
819301,10.0,51.0,,M,Midlands,Ulster,Silver,1000.0,6.0,0
876623,3.0,33.0,,M,North,N West,Tin,0.009999999999999998,5.0,0
922366,7.0,78.0,,F,Midlands,Ulster,Silver,1250.0,5.0,0
994332,8.0,66.0,,F,Midlands,Ulster,Silver,500.0,8.0,0
1041231,7.0,61.0,C,,Midlands,Midlands,Gold,6107.639999999999,,0
1083767,9.0,64.0,F,F,,,Silver,3000.0,1.0,0
1176846,9.0,31.0,F,F,,,Silver,1064.4499999999998,1.0,1
1265857,8.0,73.0,,M,Midlands,Ulster,Gold,6000.0,6.0,0
1289772,,,D,F,South West,S West,Tin,0.009999999999999998,4.0,1
1343181,5.0,,C,,Midlands,Midlands,Silver,50.02,8.0,0
1407228,7.0,57.0,B,F,,,Silver,2000.0,1.0,0
1472623,3.0,59.0,,F,Midlands,East,Gold,12000.0,4.0,0
1529536,,39.0,C,,South East,London,Silver,3850.3599999999997,8.0,1
1779664,11.0,43.0,,F,Midlands,Wales & West,Tin,0.009999999999999998,9.0,1
1988824,9.0,67.0,B,M,,,Gold,6000.0,1.0,0
2024128,12.0,68.0,E,F,,,Gold,18678.76,3.0,1
2034743,19.0,38.0,,F,Midlands,Wales & West,Tin,0.009999999999999998,9.0,1
2201399,7.0,43.0,B,,Midlands,Wales & West,Tin,0.009999999999999998,,1
2227312,5.0,58.0,A,,North,N East,Tin,0.009999999999999998,,0
2238446,8.0,42.0,F,F,,,Tin,0.009999999999999998,5.0,0
2372991,12.0,49.0,,F,Midlands,Ulster,Gold,14000.0,3.0,0
2433648,,31.0,E,,South East,London,Tin,0.009999999999999998,4.0,0
2760185,8.0,,C,,South East,S & S East,Silver,5000.0,4.0,0
2840502,8.0,63.0,,F,Midlands,Ulster,Gold,7000.0,6.0,0
2938871,,54.0,F,,Midlands,Midlands,Tin,0.009999999999999998,4.0,0
2951029,6.0,73.0,,F,Midlands,Wales & West,Silver,600.0,7.0,0
3473651,7.0,,D,,South East,London,Silver,1000.0,5.0,0
3474275,4.0,43.0,C,,South East,London,Tin,0.009999999999999998,,0
3478580,5.0,49.0,,F,Midlands,Wales & West,Gold,16000.0,4.0,0
3483258,12.0,,A,,Midlands,Midlands,Tin,0.009999999999999998,5.0,1
3495272,9.0,62.0,F,F,,,Gold,6000.0,2.0,0
3496511,11.0,58.0,,M,South East,London,Tin,0.009999999999999998,8.0,0
3515192,9.0,,A,,South East,London,Silver,3000.0,9.0,0
3529312,8.0,46.0,F,F,,,Silver,50.0,1.0,0
3542319,11.0,54.0,C,M,,,Gold,8000.0,1.0,0
3548066,,48.0,F,,South East,London,Silver,600.0,4.0,0
3551253,11.0,37.0,E,F,,,Tin,0.009999999999999998,4.0,0
3563901,,37.0,D,F,South East,London,Silver,3000.01,,0
3565432,14.0,,F,M,Midlands,East,Silver,2000.0,,0
3571866,10.0,44.0,A,F,,,Gold,6000.0,1.0,1
3593924,7.0,33.0,,U,North,Yorkshire,Silver,2000.0,1.0,0
3595986,12.0,64.0,F,M,,,Gold,6000.0,1.0,0
3606716,13.0,41.0,B,F,,,Gold,12000.0,1.0,1
3609421,,59.0,B,,South East,London,Gold,6000.0,2.0,0
3611779,4.0,68.0,B,F,,,Gold,6000.0,1.0,0
3622797,7.0,69.0,E,F,,,Gold,6000.0,2.0,0
3626997,13.0,42.0,,F,Midlands,Ulster,Silver,3200.0,8.0,0
3627284,6.0,53.0,,F,Midlands,Ulster,Silver,3000.0,5.0,0
3646459,5.0,,C,,Midlands,East,Silver,1000.0,18.0,0
3658147,4.0,,B,,South East,S & S East,Tin,0.009999999999999998,8.0,0
3663035,10.0,52.0,,M,Midlands,Ulster,Silver,360.0,9.0,0
3666360,10.0,,D,,Midlands,East,Tin,0.009999999999999998,8.0,0
3681505,10.0,72.0,,F,Midlands,Ulster,Gold,6000.0,25.0,0
3692833,15.0,64.0,,F,Midlands,Ulster,Gold,6000.0,2.0,1
3700046,13.0,40.0,C,U,,,Silver,100.0,7.0,1
3704211,9.0,59.0,D,F,,,Gold,7000.0,2.0,0
3714780,,46.0,B,,North,N West,Tin,0.009999999999999998,5.0,0
3737152,6.0,58.0,,F,Midlands,Ulster,Silver,1000.0,1.0,0
3751880,8.0,52.0,,M,Midlands,Wales & West,Tin,0.009999999999999998,9.0,0
3764710,10.0,55.0,,F,Midlands,Ulster,Platinum,54491.89,12.0,0
3784738,10.0,69.0,,M,Midlands,Ulster,Gold,11000.0,4.0,0
3784800,11.0,34.0,,F,South East,London,Tin,0.009999999999999998,9.0,1
3796515,13.0,58.0,,F,Midlands,Ulster,Gold,6000.0,9.0,0
3798666,9.0,39.0,,F,Midlands,Ulster,Gold,16755.879999999997,3.0,1
3801667,9.0,71.0,A,F,,,Silver,3000.0,1.0,0
3802493,8.0,33.0,D,F,,,Tin,0.009999999999999998,8.0,0
3807487,6.0,75.0,F,F,,,Silver,180.0,30.0,0
3841677,9.0,50.0,A,M,,,Gold,6000.0,2.0,0
3843351,8.0,59.0,B,F,,,Tin,0.009999999999999998,8.0,0
3844005,8.0,49.0,,F,Midlands,Midlands,Tin,0.009999999999999998,9.0,0
3845141,12.0,55.0,,F,Midlands,East,Silver,1000.0,8.0,0
3857778,10.0,53.0,,F,Midlands,Ulster,Silver,3200.0,8.0,0
3897338,9.0,45.0,,F,South East,London,Tin,0.009999999999999998,9.0,0
3905446,,,E,F,North,N East,Silver,50.0,8.0,0
3905667,10.0,50.0,,F,Midlands,Ulster,Silver,500.0,9.0,1
3933962,4.0,72.0,F,F,,,Silver,4000.0,1.0,0
3936007,,44.0,C,,Midlands,Midlands,Tin,0.009999999999999998,8.0,0
3960463,7.0,46.0,,F,Midlands,Wales & West,Platinum,26448.989999999998,3.0,0
4071190,15.0,34.0,,F,South East,London,Silver,10.0,6.0,1
4082109,,56.0,A,,North,N West,Silver,1000.0,14.0,0
4091051,7.0,47.0,,F,Midlands,Wales & West,Gold,12000.0,2.0,0
4103556,21.0,39.0,,F,North,Yorkshire,Tin,0.009999999999999998,5.0,1
4123581,7.0,35.0,,F,South East,S & S East,Tin,0.009999999999999998,5.0,0
4128869,4.0,,B,,South East,London,Platinum,24053.35,9.0,1
4180747,,76.0,F,,North,Yorkshire,Gold,6000.0,1.0,0
4189841,,,F,U,North,N East,Tin,0.009999999999999998,5.0,0
4222288,6.0,,D,,South East,London,Gold,5495.61,5.0,0
4269195,12.0,,E,,South East,London,Tin,0.009999999999999998,7.0,0
4270320,8.0,51.0,D,U,,,Silver,610.0,8.0,1
