,0,1,2,3,4,5,6,7,8,Actual Outcome,prob_0,prob_1,Decile
1753,13,34,4,1,4,4,3,0.01,6,1,0.313246477,0.686753523,1
1928,15,44,3,1,4,4,2,500,9,0,0.314018027,0.685981973,1
3283,20,59,2,2,4,9,2,3000,3,1,0.314319432,0.685680568,1
2886,13,34,3,1,4,4,2,2400,1,1,0.31448887,0.68551113,1
3424,14,40,6,1,4,4,2,3500,6,1,0.314955959,0.685044041,1
2738,14,40,1,1,4,4,0,6000,2,0,0.318189748,0.681810252,1
2786,13,30,2,2,4,4,2,1000,9,1,0.321951179,0.678048821,1
2170,11,28,5,1,1,5,3,0.01,8,0,0.323016336,0.676983664,1
3170,16,55,6,0,2,13,3,0.01,8,1,0.323218093,0.676781907,1
3273,16,49,2,1,4,4,0,10000,1,1,0.324254524,0.675745476,1
1477,14,40,4,1,4,4,2,2000,4,1,0.324400328,0.675599672,1
2301,12,30,2,1,4,4,2,4500,3,1,0.324515043,0.675484957,1
1674,14,45,2,0,1,12,3,0.01,5,0,0.324713353,0.675286647,1
3843,15,44,4,1,4,4,3,0.01,8,1,0.324851633,0.675148367,1
3268,13,35,5,1,4,9,3,0.01,4,1,0.326491595,0.673508405,1
774,14,34,2,2,4,4,2,100,1,0,0.327382955,0.672617045,1
86,13,38,1,1,2,8,0,6105.32,8,1,0.329254828,0.670745172,1
1576,14,40,4,1,4,9,3,0.01,8,1,0.332448693,0.667551307,1
2534,15,41,3,2,2,8,2,1000,10,1,0.333196704,0.666803296,1
2540,13,41,1,0,2,8,2,5000,4,0,0.333358163,0.666641837,1
1084,14,41,3,1,2,8,2,720,1,1,0.333842851,0.666157149,1
2442,15,45,2,1,1,3,3,0.01,4,0,0.334018422,0.665981578,1
1298,17,53,4,1,4,9,3,0.01,5,1,0.334314962,0.665685038,1
3878,13,38,5,1,1,5,3,0.01,10,1,0.334806985,0.665193015,1
3332,15,46,1,1,4,4,0,7900.01,5,1,0.336707625,0.663292375,1
1578,14,39,1,1,4,4,3,0.01,4,1,0.33721844,0.66278156,1
629,13,39,6,1,4,4,0,6000,2,1,0.337627347,0.662372653,1
2874,13,38,6,1,1,5,3,0.01,5,0,0.337792872,0.662207128,1
3024,15,50,1,0,2,13,2,3000,2,0,0.337936472,0.662063528,1
1061,13,36,4,1,4,4,3,0.01,5,1,0.339496871,0.660503129,1
406,14,41,0,1,3,7,2,50,9,1,0.339900912,0.660099088,1
1653,14,48,5,0,1,5,3,0.01,8,0,0.34026608,0.65973392,1
1883,12,33,3,1,1,12,2,4500,4,1,0.342043217,0.657956783,1
62,10,18,2,2,3,2,2,1000,1,0,0.342171135,0.657828865,1
1449,14,43,6,1,1,12,2,2260,1,1,0.343857316,0.656142684,1
3837,11,32,6,1,1,12,0,11550.5,10,1,0.343872511,0.656127489,1
3679,14,44,3,1,2,6,0,9000,8,1,0.344033436,0.655966564,1
2906,13,38,3,1,4,4,2,300,11,1,0.345614642,0.654385358,1
105,12,37,3,0,4,9,3,0.01,5,1,0.346797707,0.653202293,1
2723,12,33,6,1,4,4,3,0.01,5,1,0.348000536,0.651999464,1
3540,12,33,3,1,4,9,2,1500,5,1,0.352043797,0.647956203,1
2537,15,48,6,1,4,4,2,50,7,0,0.352492784,0.647507216,1
3206,10,26,5,1,1,5,2,3250,2,1,0.352958081,0.647041919,1
928,13,39,6,1,3,2,2,1500,2,1,0.353145119,0.646854881,1
3635,12,34,6,1,2,13,3,0.01,5,1,0.353275552,0.646724448,1
1042,11,29,5,1,3,7,3,0.01,5,1,0.353334423,0.646665577,1
1547,14,42,2,1,1,12,2,4400,1,1,0.353637997,0.646362003,1
1483,17,54,2,1,4,4,3,0.01,5,1,0.353736743,0.646263257,1
1448,12,35,5,1,1,3,3,0.01,8,1,0.354699913,0.645300087,1
1777,13,34,6,2,1,12,3,0.01,8,1,0.354748402,0.645251598,1
1396,14,42,2,1,3,7,3,0.01,10,1,0.356993893,0.643006107,1
3067,14,36,2,2,4,4,3,0.01,8,1,0.357023503,0.642976497,1
2896,12,34,3,1,1,5,3,0.01,5,1,0.357037565,0.642962435,1
1330,17,61,1,0,4,4,2,1000,10,0,0.357553471,0.642446529,1
3561,12,40,5,0,3,2,2,720,1,0,0.358077717,0.641922283,1
762,10,26,5,1,4,4,2,50,5,1,0.360671635,0.639328365,1
3521,13,39,6,1,3,2,3,0.01,5,0,0.361304089,0.638695911,1
3346,11,34,6,1,1,5,0,5500,5,1,0.362966423,0.637033577,1
3239,11,32,4,1,0,0,2,50,2,1,0.363782188,0.636217812,1
1172,17,52,0,2,0,0,2,3000,9,1,0.363843515,0.636156485,1
1803,13,40,5,1,1,5,3,0.01,7,0,0.36506608,0.63493392,1
3453,12,32,0,1,4,9,3,0.01,5,1,0.366261459,0.633738541,1
1268,14,42,1,1,4,4,2,3000,3,1,0.367182782,0.632817218,1
638,12,34,3,1,3,1,3,0.01,5,1,0.36738469,0.63261531,1
2294,13,33,3,2,4,4,2,840,1,1,0.367423952,0.632576048,1
1766,19,66,4,1,2,13,0,20000,4,1,0.368497901,0.631502099,1
2207,14,45,5,1,1,3,2,5000,4,1,0.369814418,0.630185582,1
2061,8,19,4,1,0,0,2,1500,1,0,0.370775043,0.629224957,1
2344,11,21,1,3,2,8,0,6000,2,0,0.371896087,0.628103913,1
1509,13,43,4,1,1,5,0,6052.66,7,1,0.372917498,0.627082502,1
1957,13,43,5,1,1,5,0,7000,5,1,0.37297888,0.62702112,1
2363,14,51,2,0,1,5,2,4537.2,16,0,0.373308058,0.626691942,1
2824,11,33,6,1,2,13,2,360,9,1,0.376364328,0.623635672,1
1237,11,33,6,1,2,13,2,0.02,8,1,0.377310585,0.622689415,1
2664,11,36,6,0,4,9,3,0.01,4,0,0.378315652,0.621684348,1
1748,10,24,4,2,1,12,0,6000,2,1,0.379595588,0.620404412,1
3417,11,38,6,0,4,4,2,250,8,1,0.380213782,0.619786218,1
3377,14,38,3,2,4,9,3,0.01,8,1,0.381134796,0.618865204,1
3831,18,57,5,2,2,8,3,0.01,5,1,0.381228301,0.618771699,1
3106,9,24,4,1,1,5,2,4500,7,1,0.383589083,0.616410917,1
1529,8,25,5,0,1,12,2,2500,4,0,0.383732898,0.616267102,1
793,14,45,3,1,2,6,2,4000,5,1,0.384113914,0.615886086,1
3079,13,35,1,2,4,4,0,12053.3,6,1,0.384211509,0.615788491,1
2837,15,49,6,1,4,4,3,0.01,5,1,0.384393004,0.615606996,1
3321,14,46,3,1,1,5,2,1000,5,0,0.384991766,0.615008234,1
999,13,40,4,1,2,13,3,0.01,4,1,0.385419983,0.614580017,1
3418,10,28,5,1,2,8,3,0.01,9,1,0.385879096,0.614120904,1
2556,11,33,6,1,1,12,3,0.01,8,1,0.386329667,0.613670333,1
333,14,45,3,1,4,9,2,50.01,8,0,0.386498261,0.613501739,1
3777,12,38,4,1,1,12,2,50.01,9,1,0.386545433,0.613454567,1
2928,16,54,5,1,2,8,3,0.01,5,0,0.386628858,0.613371142,1
2564,12,37,5,1,1,5,3,0.01,5,0,0.38681855,0.61318145,1
1007,12,36,4,1,2,13,3,0.01,6,1,0.387591157,0.612408843,1
106,14,45,2,1,4,4,2,500.01,9,0,0.387857085,0.612142915,1
3538,13,42,4,1,1,5,2,1000,3,1,0.388719978,0.611280022,1
250,15,44,3,2,2,13,2,1000,1,1,0.388927183,0.611072817,1
3064,12,41,4,0,4,9,3,0.01,8,0,0.389590396,0.610409604,1
3368,14,52,2,0,2,13,0,6000,2,0,0.390671773,0.609328227,1
651,16,52,4,2,1,3,0,6000,5,0,0.390753984,0.609246016,1
2140,9,23,3,1,4,4,2,420,4,1,0.391203213,0.608796787,1
880,12,35,2,1,4,4,3,0.01,5,1,0.393555029,0.606444971,1
3045,15,47,4,2,4,4,0,10000,15,0,0.393797395,0.606202605,1
2252,10,34,2,0,4,4,0,12000,8,1,0.394779283,0.605220717,1
3633,13,43,4,1,1,5,2,2371.77,9,0,0.394924593,0.605075407,1
1105,10,28,5,1,4,4,2,1200,1,1,0.39564344,0.60435656,1
3117,10,29,2,1,1,5,2,3000,8,1,0.397034716,0.602965284,1
1095,14,39,2,2,4,4,2,3842,1,0,0.399032472,0.600967528,1
1849,11,33,5,1,2,8,3,0.01,5,1,0.400381485,0.599618515,1
1125,11,32,4,1,4,4,3,0.01,5,1,0.402587424,0.597412576,1
2544,15,54,4,1,1,3,0,6000,6,1,0.402610338,0.597389662,1
804,11,36,4,1,2,8,0,6000,8,1,0.403474038,0.596525962,1
1171,14,54,1,0,2,8,0,5263.99,11,0,0.403755314,0.596244686,1
3389,12,38,2,1,3,1,0,12000,2,1,0.404457451,0.595542549,1
2842,15,54,5,1,1,5,0,6000,1,1,0.406955601,0.593044399,1
3854,13,49,6,0,4,9,2,3000.01,14,0,0.407759343,0.592240657,1
1982,11,34,3,1,4,4,0,12000,5,0,0.408239144,0.591760856,1
2582,10,29,6,1,3,7,3,0.01,4,0,0.408480778,0.591519222,1
2894,9,27,6,1,1,5,2,0.02,5,1,0.409023121,0.590976879,1
443,12,37,3,1,4,4,2,3000,2,1,0.4098979,0.5901021,1
3426,13,38,5,2,4,9,2,1300,12,1,0.410261163,0.589738837,1
2747,12,39,6,1,1,12,3,0.01,5,1,0.412782292,0.587217708,1
3700,14,50,3,1,1,3,0,6107.64,6,0,0.413315881,0.586684119,1
2917,12,39,4,1,2,6,2,2500,5,1,0.414297204,0.585702796,1
3846,11,35,6,1,1,5,3,0.01,5,1,0.414355614,0.585644386,1
10,13,43,6,1,2,13,3,0.01,5,1,0.414381462,0.585618538,1
3408,15,57,2,0,2,8,2,3000,7,0,0.41466296,0.58533704,1
1732,14,48,4,1,1,5,3,0.01,9,0,0.414863185,0.585136815,1
2238,10,34,2,0,4,4,2,3012,5,0,0.4155164,0.5844836,1
3628,10,29,5,1,4,4,3,0.01,5,1,0.416709856,0.583290144,1
284,17,54,3,2,3,7,3,0.01,4,0,0.417684894,0.582315106,1
346,13,42,3,1,4,4,2,3000,2,0,0.418031238,0.581968762,1
1886,14,44,6,2,1,12,2,480.01,5,1,0.419078875,0.580921125,1
1595,9,32,6,0,1,5,3,0.01,5,0,0.419906994,0.580093006,1
3385,12,39,3,1,4,4,2,50,9,1,0.420113732,0.579886268,1
2371,10,32,6,1,2,8,2,25.79,8,1,0.420508258,0.579491742,1
3451,8,25,5,1,1,3,0,6105.32,7,0,0.421139371,0.578860629,1
2169,12,35,4,2,4,4,0,6000,3,1,0.422582465,0.577417535,1
307,14,55,6,0,1,3,2,3000,3,1,0.424690145,0.575309855,1
2093,12,33,4,2,4,4,3,0.01,8,0,0.424932594,0.575067406,1
1148,17,57,4,2,4,4,0,12105.3,8,0,0.425481131,0.574518869,1
1512,12,32,3,2,4,9,3,0.01,4,1,0.425738485,0.574261515,1
1138,8,22,4,1,2,6,2,1000,1,1,0.426600248,0.573399752,1
2760,13,44,2,1,4,4,0,6988.4,1,1,0.42677447,0.57322553,1
483,13,44,6,1,2,13,3,0.01,5,0,0.428110169,0.571889831,1
2323,15,47,2,2,1,3,2,4000,1,0,0.428177491,0.571822509,1
1761,14,50,0,1,1,12,0,9500,13,1,0.428332926,0.571667074,1
2545,12,41,4,1,1,12,2,1500,10,1,0.428370987,0.571629013,1
564,12,41,6,1,1,5,2,3000,3,1,0.428766864,0.571233136,1
111,15,53,3,1,1,12,2,100,1,1,0.429067815,0.570932185,1
1180,15,51,3,1,4,9,3,0.01,5,1,0.42933712,0.57066288,1
64,13,45,4,1,1,5,2,2200,4,1,0.430141226,0.569858774,1
1192,14,48,3,1,1,12,3,0.01,5,0,0.430545401,0.569454599,1
1333,9,26,2,1,4,4,2,500,8,1,0.43063722,0.56936278,1
1276,9,28,4,1,0,0,2,3500,4,1,0.431663069,0.568336931,1
485,14,44,6,2,1,5,3,0.01,4,0,0.432376359,0.567623641,1
124,11,31,6,2,1,3,3,0.01,5,0,0.432518029,0.567481971,1
428,14,48,4,1,2,13,3,0.01,5,1,0.432674537,0.567325463,1
1995,16,59,5,1,1,3,2,2000,5,0,0.432726369,0.567273631,1
879,13,50,6,0,2,8,3,0.01,5,0,0.433486769,0.566513231,1
2259,9,31,2,0,2,8,3,0.01,5,0,0.434720792,0.565279208,1
794,13,33,3,3,4,9,2,2550.01,8,0,0.434923351,0.565076649,1
3800,16,55,5,2,4,4,0,5050,11,1,0.435201065,0.564798935,1
1261,18,64,3,2,1,5,0,5884.25,8,1,0.435255062,0.564744938,1
1121,13,44,6,1,4,4,3,0.01,5,1,0.436244519,0.563755481,1
441,15,53,4,1,3,2,2,3500,2,1,0.436338497,0.563661503,1
741,11,34,4,1,2,13,1,26156.4,6,1,0.436658947,0.563341053,1
1694,13,44,2,1,1,5,3,0.01,5,0,0.437224151,0.562775849,1
3173,11,38,3,1,1,12,0,9878,8,1,0.438957839,0.561042161,1
2240,8,26,6,1,1,5,0,6000,2,1,0.439162391,0.560837609,1
698,11,37,5,1,0,0,3,0.01,4,0,0.439169202,0.560830798,1
3107,16,59,6,1,4,4,2,1500,9,1,0.44051177,0.55948823,1
1024,12,42,5,1,0,0,3,0.01,8,1,0.440712071,0.559287929,1
2908,12,41,4,1,2,13,2,0.02,5,0,0.441112435,0.558887565,1
719,17,53,3,3,1,12,0,12000,4,0,0.441117342,0.558882658,1
1461,11,37,3,1,1,12,2,100,7,1,0.441421002,0.558578998,1
2708,12,40,2,1,4,4,2,550,8,0,0.44161752,0.55838248,1
1709,9,30,6,1,1,5,2,750,11,0,0.441728661,0.558271339,1
3058,11,36,2,1,1,3,3,0.01,8,1,0.442267672,0.557732328,1
2576,10,33,6,1,1,5,3,0.01,8,0,0.442501434,0.557498566,1
851,9,27,1,1,4,4,0,10000,3,0,0.442801905,0.557198095,1
3235,13,53,6,0,2,13,0,6000,3,0,0.442813285,0.557186715,1
416,13,50,3,0,4,9,2,1000,8,0,0.442901638,0.557098362,1
870,15,56,2,1,2,6,0,6000,9,1,0.443499926,0.556500074,1
1360,11,38,4,1,1,5,2,500,9,1,0.443585565,0.556414435,1
1953,9,35,6,0,1,12,2,100,8,1,0.443942765,0.556057235,1
1990,12,42,3,1,0,0,2,122.24,2,1,0.444574572,0.555425428,1
2175,13,45,5,1,2,13,3,0.01,6,0,0.44537824,0.55462176,1
1311,12,42,4,1,2,6,2,600,9,1,0.445404812,0.554595188,1
693,13,39,4,2,4,9,2,2000,3,1,0.445442826,0.554557174,1
1071,17,67,6,0,5,10,3,0.01,5,0,0.446045849,0.553954151,1
3848,12,47,2,0,4,4,0,14053.3,14,0,0.446142923,0.553857077,1
2512,9,26,3,1,4,4,3,0.01,5,0,0.446262791,0.553737209,1
1438,9,34,5,0,1,3,3,0.01,8,0,0.446474335,0.553525665,1
744,11,43,6,0,1,5,3,0.01,7,0,0.446847059,0.553152941,1
1112,13,42,5,2,1,5,3,0.01,18,1,0.447329796,0.552670204,1
1599,17,62,2,1,4,4,2,2500,6,1,0.448388201,0.551611799,1
3824,15,58,3,0,2,13,1,20374.8,3,1,0.449351529,0.550648471,1
